cohort_month,segment_type,segment,period,cohort_size,retained_users,retention_pct
2025-09-01 00:00:00,tier,Free,1,151,11,7.28
2024-11-01 00:00:00,tier,Free,1,94,26,27.66
2025-03-01 00:00:00,tier,Free,1,132,28,21.21
2025-03-01 00:00:00,tier,Paid,30,110,108,98.18
2024-07-01 00:00:00,tier,Free,7,88,76,86.36
2025-08-01 00:00:00,tier,Paid,7,149,121,81.21
2025-12-01 00:00:00,tier,Paid,7,143,46,32.17
2024-02-01 00:00:00,tier,Free,7,56,44,78.57
2025-01-01 00:00:00,tier,Paid,7,130,123,94.62
2024-04-01 00:00:00,tier,Paid,7,67,62,92.54
2024-01-01 00:00:00,tier,Free,7,55,49,89.09
2025-01-01 00:00:00,tier,Free,7,119,101,84.87
2025-07-01 00:00:00,tier,Free,1,159,20,12.58
2024-10-01 00:00:00,tier,Paid,1,102,38,37.25
2024-04-01 00:00:00,tier,Free,1,86,20,23.26
2024-02-01 00:00:00,tier,Paid,1,72,42,58.33
2024-09-01 00:00:00,tier,Paid,1,96,46,47.92
2025-04-01 00:00:00,tier,Free,30,117,112,95.73
2025-09-01 00:00:00,tier,Paid,30,152,147,96.71
2025-02-01 00:00:00,tier,Paid,30,103,102,99.03
2024-03-01 00:00:00,tier,Free,30,80,78,97.5
2024-08-01 00:00:00,tier,Paid,30,89,87,97.75
2025-10-01 00:00:00,tier,Paid,30,156,137,87.82
2024-06-01 00:00:00,tier,Paid,30,81,81,100.0
2024-06-01 00:00:00,tier,Free,30,81,81,100.0
2024-12-01 00:00:00,tier,Free,30,120,116,96.67
2025-06-01 00:00:00,tier,Free,30,131,123,93.89
2025-10-01 00:00:00,tier,Free,7,166,52,31.33
2024-11-01 00:00:00,tier,Paid,7,109,101,92.66
2024-10-01 00:00:00,tier,Free,7,110,91,82.73
2025-09-01 00:00:00,tier,Free,7,151,63,41.72
2024-11-01 00:00:00,tier,Free,7,94,77,81.91
2025-03-01 00:00:00,tier,Free,7,132,103,78.03
2024-07-01 00:00:00,tier,Paid,1,103,52,50.49
2024-08-01 00:00:00,tier,Free,1,85,22,25.88
2025-06-01 00:00:00,tier,Paid,1,142,37,26.06
2024-05-01 00:00:00,tier,Free,1,60,19,31.67
2025-05-01 00:00:00,tier,Free,1,152,28,18.42
